place,title,time,pay,date
서울 전체, 유니클로 신사점,시간협의,"시급10,644",
서울 전체, 유니클로 신사점,시간협의,"시급8,870",
서울 전체, 유니클로 신사점,시간협의,"월급1,850,000",
광주 전체, 유니클로 롯데마트 수완점,시간협의,"시급10,644",
울산 남구, 유니클로 롯데백화점 울산점,시간협의,"시급8,870",
서울 양천구, 유니클로 현대백화점 목동점,시간협의,"월급1,850,000",
서울 양천구, 유니클로 현대백화점 목동점,시간협의,"시급10,644",
서울 양천구, 유니클로 현대백화점 목동점,시간협의,"시급8,870",
경기 고양시, 유니클로 현대백화점 킨텍스점,시간협의,"시급10,644",
경기 고양시, 유니클로 현대백화점 킨텍스점,시간협의,"월급1,850,000",
경기 포천시, 유니클로 포천점,시간협의,"시급10,644",
경기 용인시, 유니클로 롯데몰 수지점,시간협의,"시급8,870",
경기 시흥시, 유니클로 이마트 시화점,시간협의,"시급10,644",
경기 시흥시, 유니클로 이마트 시화점,시간협의,"시급10,644",
경기 시흥시, 유니클로 이마트 시화점,시간협의,"월급1,850,000",
서울 강남구, 유니클로 롯데백화점 강남점,시간협의,"시급8,870",
경북 포항시, 유니클로 포항 해도점,시간협의,"시급10,644",
경북 포항시, 유니클로 포항 해도점,시간협의,"월급1,850,000",
서울 은평구, 유니클로 롯데몰 은평점,시간협의,"월급1,850,000",
경기 광주시, 유니클로 경기 광주점,시간협의,"시급8,870",
경기 전체, 유니클로 경기 광주점,시간협의,"월급1,850,000",
전북 전주시, 유니클로 전주 효자점,시간협의,"시급10,644",
인천 전체, 유니클로 부평역사점,시간협의,"시급10,644",
대구 동구, 유니클로 롯데마트 대구율하점,시간협의,"시급10,644",
부산 전체, 유니클로 메가마트 남천점,시간협의,"시급10,644",
전남 목포시, 유니클로 목포 상동점,13:00~21:30,"시급10,644",
경기 포천시, 유니클로 포천점,시간협의,"시급8,870",
경기 광명시, 유니클로 광명점,시간협의,"월급1,850,000",
경기 광명시, 유니클로 광명점,시간협의,"시급10,644",
경기 광명시, 유니클로 광명점,시간협의,"시급8,870",
전남 여수시, 유니클로 여수 둔덕점,09:00~18:30,"월급1,850,000",
서울 강서구, 유니클로 롯데몰 김포공항 스카이파크점,시간협의,"시급8,870",
서울 강서구, 유니클로 롯데몰 김포공항 스카이파크점,시간협의,"시급10,644",
서울 강서구, 유니클로 롯데몰 김포공항 스카이파크점,시간협의,"시급10,644",
부산 부산진, 유니클로 롯데백화점 서면점,시간협의,"시급8,720",
경기 안성시, 유니클로 안성점,시간협의,"시급10,644",
전남 목포시, 유니클로 목포 상동점,13:00~21:30,"시급10,644",
부산 동구, 유니클로 부산 범일점,시간협의,"시급10,644",
경북 구미시, 유니클로 구미 신평점,시간협의,"시급10,644",
경북 구미시, 유니클로 구미 신평점,시간협의,"월급1,850,000",
