place,title,time,pay,date
서울 광진구, 이마트24 건대차이나점,10:30~20:00,"시급9,500",
전남 여수시, 이마트24 여수연등점,14:30~21:30,"시급8,720",
충북 청주시, 이마트24 청주율량리치점,18:00~01:00,"시급8,720",
경기 성남시, 이마트24 서현도서관점,18:30~24:00,"시급8,800",
광주 전체, 이마트24 광주옥동점,14:00~20:00,"시급8,720",
대전 서구, 이마트24 대전갈마제일점,06:00~12:00,"시급8,720",
인천 미추홀, 이마트24 주안월드스테이트점,09:00~16:00,"시급8,720",
경남 양산시, 이마트24 물금범어점,00:00~08:00,"시급9,000",
서울 광진구, 이마트24 이마트24 구의르네점,16:00~00:00,"시급8,720",
서울 강서구, 이마트24 마곡퀸즈점,07:00~13:00,"시급8,720",
서울 광진구, 이마트24 이마트24 구의르네점,16:00~00:00,"시급8,720",
경기 시흥시, 이마트24 시흥은계파크점,06:00~11:00,"시급8,720",
인천 연수구, 이마트24 송도랜드마크시티점,18:00~22:00,"시급8,720",
경기 김포시, 이마트24 김포스타프라자점,07:30~12:30,"시급8,800",
경기 여주시, 이마트24 여주교동점,07:00~10:30,"시급8,800",
서울 영등포, 이마트24 당산온누리점,22:00~02:00,"시급9,000",
인천 연수구, 이마트24 송도아라점,06:00~12:00,"시급8,720",
서울 영등포, 이마트24 당산온누리점,06:00~10:00,"시급8,720",
충북 청주시, 이마트24 석곡사거리점,시간협의,"시급8,720",
서울 동대문, 이마트24 JLL회기로점,08:00~17:00,"월급2,200,000",
경기 군포시, 이마트24 R군포부곡빌리지점,06:00~15:00,"시급8,800",
경기 하남시, 이마트24 하남에일린점,시간협의,"시급8,720",
대구 달서구, 이마트24 대구와룡고점,19:00~24:00,"건별162,500",
대구 달서구, 이마트24 대구와룡고점,12:00~19:00,"건별227,500",
경기 성남시, 이마트24 SMART위례래미안점,23:00~03:00,"시급8,800",
서울 중랑구, 이마트24 이마트24 R신내데시앙점,06:00~12:00,"월급1,400,000",
인천 전체, 이마트24 남동수현점,시간협의,"시급8,720",
경기 여주시, 이마트24 여주교동점,07:00~10:30,"시급8,800",
경기 안성시, 이마트24 안성아양행복점,22:00~13:00,"시급8,720",
경남 창원시, 이마트24 진해도서관점,18:00~00:00,"시급8,720",
경기 하남시, 이마트24 하남에일린점,시간협의,"시급8,720",
경기 화성시, 이마트24 동탄역캐슬점,03:00~24:00,"시급8,720",
전남 광양시, 이마트24 이마트24 R광양금광점,시간협의,"시급8,720",
전북 전주시, 이마트24 서전주IC점,14:00~22:00,"시급8,720",
전남 광양시, 이마트24 이마트24 R광양금광점,시간협의,"시급8,720",
서울 광진구, 이마트24 이마트24 R광진아너스빌점,07:30~11:00,"시급8,720",
경기 용인시, 이마트24 self동천파크자이점,16:00~23:00,"시급8,720",
광주 서구, 이마트24 이마트24 R광주금호한국점,12:00~18:00,"시급8,720",
서울 송파구, 이마트24 잠실서일점,18:00~24:00,"시급8,720",
인천 서구, 이마트24 원당드림점,20:00~03:00,"시급8,720",
