place,title,time,pay,date
경남 창원시, 이어드림 도계지점,시간협의,"건별3,500",
경남 창원시, 이어드림 의창구지점,09:00~02:00,"월급5,000,000",
충남 아산시, 이어드림 아산1지사,시간협의,"건별3,300",
경기 용인시, 이어드림 둔전지점,시간협의,"건별3,500",
강원 속초시, 이어드림 속초지점,시간협의,"건별5,000",
대구 달성군, 이어드림 현풍,시간협의,"건별3,300",
경기 평택시, 이어드림 송탄국민지점,00:00~24:00,"건별3,200",
인천 전체, 이어드림 용현5지사,시간협의,"일급150,000",
경기 용인시, 이어드림 처인지점,09:00~02:00,"건별3,500",
경기 화성시, 이어드림 보라지점,시간협의,"건별3,500",
대구 달서구, 이어드림 성당점,10:00~05:00,"일급200,000",
대전 대덕구, 이어드림 신탄 1지부,시간협의,"일급200,000",
경기 수원시, 이어드림 수원(호매9지사),10:00~01:00,"일급200,000",
경기 수원시, 이어드림 수원(송죽파장8지사),10:00~01:00,"건별3,500",
경기 수원시, 이어드림 수원(본점),시간협의,"건별3,500",
경기 수원시, 이어드림 수원(3지사),시간협의,"건별3,500",
경남 창원시, 이어드림 중동지점,09:00~02:00,"건별3,500",
경남 창원시, 이어드림 도계지점,시간협의,"건별3,500",
경남 창원시, 이어드림 의창구지점,09:00~02:00,"월급5,000,000",
충남 아산시, 이어드림 아산1지사,시간협의,"건별3,300",
인천 미추홀, 이어드림 용현4지사,10:00~22:00,"건별3,500",
강원 속초시, 이어드림 속초지점,시간협의,"건별5,000",
대구 달성군, 이어드림 현풍,시간협의,"건별3,300",
경기 평택시, 이어드림 송탄국민지점,00:00~24:00,"건별3,200",
인천 미추홀, 이어드림 용현3지사,10:00~03:00,"건별3,500",
경기 용인시, 이어드림 천리지사,시간협의,"일급200,000",
경기 용인시, 이어드림 처인지점,09:00~02:00,"건별3,500",
경기 화성시, 이어드림 보라지점,시간협의,"건별3,500",
대전 대덕구, 이어드림 신탄 1지부,시간협의,"일급200,000",
경기 전체, 이어드림 다산신도시지점,10:00~02:00,"건별3,000",
경기 수원시, 이어드림 수원(호매9지사),10:00~01:00,"일급200,000",
경기 수원시, 이어드림 수원(송죽파장8지사),10:00~01:00,"건별3,500",
경기 수원시, 이어드림 수원(3지사),시간협의,"건별3,500",
경남 창원시, 이어드림 도계지점,시간협의,"건별3,500",
경남 창원시, 이어드림 의창구지점,09:00~02:00,"월급5,000,000",
경남 창원시, 이어드림 중동지점,09:00~02:00,"건별3,500",
경기 용인시, 이어드림 둔전지점,시간협의,"건별3,500",
인천 미추홀, 이어드림 용현4지사,10:00~22:00,"건별3,500",
강원 속초시, 이어드림 속초지점,시간협의,"건별5,000",
대구 달성군, 이어드림 현풍,시간협의,"건별3,300",
