place,title,time,pay,date
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,13:00~22:00,"월급1,950,000",
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,13:00~22:00,"월급1,950,000",
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,10:00~16:00,"시급8,720",
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,13:00~22:00,"월급1,950,000",
대구 북구, 이자녹스/비욘드/네이처컬렉션 엔씨아울,시간협의,"시급8,720",
광주 광산구, 이자녹스/비욘드/네이처컬렉션 홈플러스,시간협의,"시급9,000",
전북 군산시, 이자녹스/비욘드/네이처컬렉션 이마트,18:00~22:00,"시급8,720",
전북 군산시, 이자녹스/비욘드/네이처컬렉션 이마트,18:00~22:00,"시급8,720",
전북 군산시, 이자녹스/비욘드/네이처컬렉션 이마트,18:00~22:00,"시급8,720",
전북 군산시, 이자녹스/비욘드/네이처컬렉션 이마트,17:00~22:00,"시급8,720",
경기 남양주, 이자녹스/비욘드/네이처컬렉션 홈플러스,17:00~10:00,"시급8,720",
