place,title,time,pay,date
부산 전체, 자라리테일코리아,시간협의,"시급11,370",
경기 전체, 마시모두띠코리아,시간협의,"연봉24,000,000",
경기 전체, 마시모두띠코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"시급11,370",
경남 전체, 자라리테일코리아,시간협의,"시급11,370",
서울 전체, 자라리테일코리아,시간협의,"시급11,370",
서울 전체, 자라리테일코리아,시간협의,"시급11,370",
서울 중구, 자라리테일코리아,시간협의,"시급11,370",
경기 성남시, 마시모두띠코리아,시간협의,"시급11,370",
대전 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 송파구, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"시급11,370",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
대구 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"시급11,370",
서울 전체, 마시모두띠코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 하남시, 인디텍스코리아,시간협의,"시급11,370",
경기 전체, 마시모두띠코리아,11:30~19:30,"시급11,370",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 강남구, 자라리테일코리아,시간협의,"시급11,370",
경기 수원시, 인디텍스코리아,시간협의,"시급11,370",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
인천 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
부산 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
울산 남구, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 강남구, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 강남구, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",
서울 전체, 자라리테일코리아,시간협의,"시급11,370",
