place,title,time,pay,date
서울 전체, 장원교육 서울서초,10:00~20:30,"월급2,000,000",
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",
서울 강남구, 장원교육 서울강남,14:00~21:00,"연봉18,000,000",
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",
서울 강남구, 장원교육 서울강남,14:00~21:00,"연봉18,000,000",
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급2,100,000",
경기 화성시, 장원교육 2동탄,시간협의,"월급1,800,000",
경기 화성시, 장원교육 2동탄,시간협의,"월급1,800,000",
인천 연수구, 장원교육 인천연수,10:00~20:00,"월급1,900,000",
부산 부산진, 장원교육 부산진북,시간협의,"월급2,000,000",
대구 전체, 장원교육 대구서구,15:00~22:00,"월급2,000,000",
대구 전체, 장원교육 대구시지,10:00~21:00,"월급1,500,000",
경북 김천시, 장원교육 김천,09:30~18:30,"월급2,000,000",
경기 용인시, 장원교육 용인기흥,09:30~18:30,"월급2,000,000",
인천 미추홀, 장원교육 인천중부,시간협의,"월급2,000,000",
경기 남양주, 장원교육 퇴계원,시간협의,"월급2,000,000",
서울 도봉구, 장원교육 서울도봉,시간협의,"월급2,000,000",
서울 성북구, 장원교육 성북서,시간협의,"월급2,000,000",
경기 고양시, 장원교육 일산동부,10:00~18:00,"월급1,500,000",
서울 노원구, 장원교육 서울노원,10:00~20:00,"월급1,573,770",
서울 강동구, 장원교육 서울강동,시간협의,"월급1,800,000",
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급2,100,000",
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",
대구 전체, 장원교육 수성,14:00~22:00,"월급1,800,000",
대전 대덕구, 장원교육 동대전,시간협의,"월급1,800,000",
대전 대덕구, 장원교육 동대전,시간협의,"월급1,800,000",
대전 대덕구, 장원교육 동대전,시간협의,"월급1,800,000",
대전 대덕구, 장원교육 동대전,시간협의,"월급1,800,000",
경기 화성시, 장원교육 2동탄,시간협의,"월급1,800,000",
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",
