place,title,time,pay,date
경기 광명시, (주)지오다노,시간협의,"월급1,823,000",
경기 안성시, (주)지오다노,시간협의,"연봉22,000,000",
경기 광명시, (주)지오다노,시간협의,"월급1,823,000",
경기 광명시, (주)지오다노,시간협의,"월급1,823,000",
서울 전체, (주)지오다노,시간협의,"월급1,823,000",
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",
서울 강동구, 지오다노 천호현대컨셉원,09:30~20:00,"월급1,830,000",
경기 안성시, (주)지오다노,시간협의,"연봉22,000,000",
서울 전체, (주)지오다노,시간협의,"월급1,823,000",
서울 전체, (주)지오다노,시간협의,"월급1,823,000",
서울 전체, (주)지오다노,시간협의,"월급1,823,000",
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",
대전 유성구, (주)지오다노,시간협의,"월급1,923,000",
대전 동구, (주)지오다노,시간협의,"월급1,823,000",
경기 파주시, (주)지오다노,시간협의,"월급1,823,000",
경기 남양주, (주)지오다노,시간협의,"월급1,823,000",
경기 고양시, (주)지오다노,시간협의,"월급1,823,000",
제주 제주시, (주)지오다노,12:00~21:00,"월급2,023,000",
제주 제주시, (주)지오다노,시간협의,"월급2,023,000",
제주 제주시, (주)지오다노,시간협의,"월급2,023,000",
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",
대구 전체, (주)지오다노 동성로점,13:00~22:00,"월급1,822,480",
서울 강동구, (주)지오다노 천호 현대 컨셉원,09:30~20:00,"월급1,830,000",
서울 전체, (주)지오다노,시간협의,"월급1,823,000",
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",
서울 강동구, (주)지오다노 컨셉원,시간협의,"연봉21,876,000",
서울 강동구, (주)지오다노 컨셉원,시간협의,"연봉21,876,000",
서울 서대문, 지오다노 신촌현대,09:30~18:30,"월급1,823,000",
