place,title,time,pay,date
서울 강남구, 크리스피크림도넛  대치점,09:00~14:00,"시급8,720",
서울 강남구, 크리스피크림도넛  대치점,09:00~15:00,"시급8,720",
서울 강남구, 크리스피크림도넛  대치점,09:00~14:00,"시급8,720",
광주 광산구, 크리스피크림도넛 광주첨단점,14:00~22:00,"시급8,820",
대구 수성구, 크리스피 크림 도넛 대구범어점,22:00~06:00,"시급8,720",
대구 수성구, 크리스피 크림 도넛 대구범어점,19:00~23:30,"시급8,720",
경기 성남시, 크리스피크림도넛  분당수내점,13:00~19:00,"시급8,720",
경기 성남시, 크리스피크림도넛  분당수내점,13:00~19:00,"시급8,720",
대구 전체, 크리스피 크림 도넛 대구범어점,12:00~19:00,"시급8,720",
대전 서구, 크리스피크림도넛 대전둔산점,22:00~07:00,"시급8,720",
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,15:00~23:00,"시급8,720",
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,15:00~23:00,"시급8,720",
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,15:00~23:00,"시급8,720",
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,10:00~15:00,"시급8,720",
경기 남양주, 크리스피크림도넛  롯데구리점,09:00~22:00,"시급8,720",
서울 강남구, 크리스피크림도넛 강남역점,시간협의,"시급8,720",
서울 강남구, 크리스피크림도넛 강남역점,시간협의,"시급8,720",
서울 강북구, 크리스피크림도넛  미아점,09:00~15:00,"시급8,720",
서울 송파구, 크리스피크림도넛 강남역점,15:00~21:00,"시급8,720",
서울 중구, 크리스피크림도넛 소공점,16:00~20:30,"시급8,720",
서울 중구, 크리스피크림도넛 소공점,16:00~20:30,"시급8,720",
충북 청주시, 크리스피크림도넛  롯데청주아울렛점,14:00~20:00,"시급8,720",
서울 양천구, 크리스피크림도넛  오목교점,09:30~16:00,"시급8,720",
전남 여수시, 크리스피크림도넛 광주첨단점,09:30~16:00,"시급8,720",
경기 남양주, 크리스피크림도넛  건대스타시티점,09:30~16:00,"시급8,720",
광주 서구, 크리스피 크림 도넛 금호터미널점,15:30~22:00,"시급8,720",
서울 강남구, 크리스피크림도넛  대치점,09:00~14:00,"시급8,720",
광주 광산구, 크리스피크림도넛 광주첨단점,16:00~22:00,"시급8,720",
경기 남양주, 크리스피크림도넛 강남역점,09:30~22:00,"시급8,720",
서울 강남구, 크리스피크림도넛  대치점,09:00~15:00,"시급8,720",
경기 수원시, 크리스피크림도넛  롯데몰수원점,09:00~15:00,"시급8,720",
경기 수원시, 크리스피크림도넛  롯데몰수원점,09:00~15:00,"시급8,720",
서울 마포구, 크리스피크림도넛  메세나폴리스점,17:00~22:30,"시급8,720",
울산 남구, 크리스피크림도넛 울산삼산점,16:00~23:00,"시급8,720",
울산 남구, 크리스피크림도넛 울산삼산점,16:00~23:00,"시급8,720",
서울 영등포, 크리스피크림도넛 영등포점,07:00~14:00,"시급8,820",
서울 영등포, 크리스피크림도넛 영등포점,15:00~22:30,"시급8,720",
광주 서구, 크리스피 크림 도넛 금호터미널점,15:30~22:00,"시급8,720",
경기 파주시, 크리스피크림도넛  롯데파주아울렛점,14:00~21:00,"시급8,720",
경기 파주시, 크리스피크림도넛  롯데파주아울렛점,11:30~18:00,"시급8,720",
