place,title,time,pay,date
서울 전체, 투썸플레이스 미아테라스파크점,11:00~16:00,"시급8,720",
인천 미추홀, 투썸플레이스 인천 인하대후문점,18:00~22:30,"시급8,720",
서울 구로구, 투썸플레이스 구로대륭1차점,11:00~20:00,"월급1,950,000",
서울 강동구, 투썸플레이스(주),시간협의,"시급8,820",
경북 포항시, 투썸플레이스 대도점,18:00~22:30,"시급8,720",
서울 노원구, 투썸플레이스노원문화의거리점,시간협의,"시급10,464",
부산 연제구, 투썸플레이스 부산거제점,08:30~17:30,"월급1,900,000",
서울 강서구, 투썸플레이스 신방화역점,17:30~22:30,"시급8,720",
경기 수원시, 투썸플레이스 수원고색점,시간협의,"월급1,830,000",
경기 구리시, 투썸플레이스 구리중앙점,시간협의,"시급8,720",
경남 창원시, 투썸플레이스 마산삼계점,시간협의,"시급8,720",
서울 서초구, 투썸플레이스(주),16:00~22:30,"시급10,584",
서울 서초구, 투썸플레이스(주),시간협의,"시급8,720",
서울 송파구, 투썸플레이스잠실역(2),08:00~15:00,"시급8,720",
서울 강남구, 투썸플레이스학동역점,시간협의,"시급8,720",
서울 송파구, 투썸플레이스잠실역(2),18:00~22:30,"시급8,720",
인천 부평구, 투썸플레이스 부평cgv점,15:00~22:00,"시급10,400",
부산 남구, 투썸플레이스 부산문현점,시간협의,"시급8,720",
경기 시흥시, twosomeplace 시화MTV점,12:00~21:00,"시급8,720",
서울 은평구, 투썸플레이스,17:00~22:00,"시급8,720",
대전 유성구, 투썸플레이스 유성온천점,12:00~16:00,"시급8,720",
서울 강서구, 투썸플레이스 신방화역점,07:30~15:00,"시급8,720",
서울 강남구, 투썸플레이스 역삼역점,14:00~23:00,"월급1,900,000",
서울 중구, 투썸플레이스(주),00:00~24:00,"시급8,820",
경기 김포시, 투썸플레이스김포고촌점,시간협의,"월급1,850,000",
부산 사하구, 투썸플레이스 동아대점,09:30~13:30,"시급8,720",
경기 수원시, 투썸플레이스 수원나혜석거리점,12:00~18:00,"시급8,720",
경기 고양시, 투썸플레이스 일산문화공원점,08:00~13:00,"시급10,464",
서울 양천구, 투썸플레이스 양천신목로점,시간협의,"시급8,720",
경남 김해시, 투썸플레이스 김해주촌선천지구점,시간협의,"시급8,720",
대전 유성구, 투썸플레이스 유성온천점,12:00~16:00,"시급8,720",
경기 성남시, 투썸플레이스 위례중앙점,16:30~22:00,"시급9,000",
대전 유성구, 투썸플레이스 유성온천점,09:00~16:00,"월급1,822,480",
인천 연수구, 투썸플레이스 송도지식정보단지역점,18:00~22:30,"시급10,464",
경기 고양시, 투썸플레이스 일산문화공원점,08:00~13:00,"시급8,720",
서울 동대문, 투썸플레이스(주),시간협의,"시급8,820",
경기 남양주, 투썸플레이스,09:00~16:00,"시급8,820",
경기 남양주, 투썸플레이스,06:30~13:00,"시급8,820",
서울 강남구, 투썸플레이스 강남역삼로점,시간협의,"시급8,820",
경기 성남시, 투썸야탑역점,07:00~14:00,"시급8,720",
