place,title,time,pay,date
서울 성북구, 파리바게뜨 월곡동아점,08:00~12:00,"시급8,720",
인천 부평구, 파리바게뜨 부평신트리점,13:00~18:00,"시급8,720",
부산 해운대, 파리바게뜨 해운대주공(좌,시간협의,"시급8,800",
서울 강남구, 파리바게뜨 일원역점,18:00~23:00,"시급9,000",
부산 기장군, 파리바게뜨 기장교리점,07:00~22:30,"시급8,720",
경기 안성시, 파리바게뜨 안성중앙대점,12:00~17:00,"시급8,720",
대구 중구, 파리바게뜨 경대병원점,08:00~12:00,"시급8,720",
서울 금천구, 파리바게뜨 금천독산점,13:00~20:00,"시급8,720",
서울 서대문, 파리바게뜨 가재울래미안점,07:00~13:00,"시급8,720",
서울 영등포, 파리바게뜨 여의서로점,07:00~13:00,"시급8,720",
광주 서구, 파리바게뜨 쌍촌공원점,08:00~15:00,"시급8,720",
전북 전주시, 파리바게뜨 전주혁신호반점,시간협의,"시급8,720",
서울 구로구, 파리바게뜨 구로항동점,07:00~14:30,"시급8,720",
충북 제천시, 파리바게뜨 제천우체국점,07:00~13:00,"시급8,720",
인천 연수구, 파리바게뜨 인천옥련점,16:00~22:30,"시급10,460",
전남 화순군, 파리바게뜨 화순광덕점,시간협의,"시급8,720",
경기 김포시, 파리바게뜨 풍무꿈에그린점,17:00~21:00,"시급8,720",
제주 제주시, 파리바게뜨 제주종합청사점,07:00~13:00,"시급8,720",
광주 동구, 파리바게뜨 광주서석점,07:00~11:30,"시급9,000",
전국 전체, 파리바게뜨 반포가든점,07:00~15:00,"시급8,720",
충북 청주시, 파리바게뜨 청주방서점,18:00~21:00,"시급8,720",
경기 화성시, 파리바게뜨 동탄레이크꼬모,18:00~22:00,"시급8,800",
경기 평택시, 파리바게뜨 평택소사벌점,07:00~12:00,"시급8,720",
경기 평택시, 파리바게뜨 평택힐스테이트점,08:00~13:00,"시급8,720",
서울 영등포, 파리바게뜨 여의도점,14:00~20:00,"시급8,720",
인천 부평구, 파리바게뜨 부평구청역점,12:00~17:00,"시급8,720",
경기 성남시, 파리바게뜨 남한산성역점,09:00~15:00,"시급8,720",
광주 북구, 파리바게뜨 광주본촌점,07:30~12:30,"시급8,720",
인천 부평구, 파리바게뜨 부평구청역점,08:00~12:00,"시급8,720",
서울 동대문, 파리바게뜨 청량리점,17:00~21:30,"시급8,800",
충북 제천시, 파리바게뜨 제천우체국점,18:00~22:00,"시급8,720",
서울 강동구, 파리바게뜨 강동성내점,18:00~22:30,"시급8,720",
서울 동작구, 파리바게뜨 상도건영점,16:00~22:00,"시급8,720",
서울 강남구, 파리바게뜨 도곡점,07:00~23:00,"시급11,000",
경남 양산시, 파리바게뜨 물금가촌점,시간협의,"시급8,720",
부산 동래구, 파리바게뜨 부산낙민점,18:00~23:00,"시급8,720",
서울 영등포, 파리바게뜨 당산롯데점,18:00~22:00,"시급8,720",
경기 안성시, 파리바게뜨 안성계동점,07:00~14:00,"시급8,720",
대전 유성구, 파리바게뜨 대전궁동점,08:00~13:30,"시급8,720",
서울 강동구, 파리바게뜨 강동역점,07:00~12:00,"시급8,720",
