place,title,time,pay,date
서울 노원구, 풀무원녹즙 종로오피스,08:00~11:00,"월급1,000,000",
서울 광진구, 풀무원녹즙 압구정홈가맹점,00:00~05:00,"건별1,100,000",
광주 서구, 풀무원녹즙내방/쌍촌/화정/농성,시간협의,"월급1,500,000",
광주 동구, 풀무원녹즙내방/쌍촌/화정/농성,08:00~11:30,"월급1,300,000",
광주 북구, 풀무원녹즙내방/쌍촌/화정/농성,시간협의,"월급1,300,000",
대전 서구, 풀무원녹즙,23:00~02:00,"월급650,000",
광주 전체, 풀무원 녹즙,07:00~09:00,"주급400,000",
광주 북구, 풀무원 녹즙,06:00~10:30,"월급1,300,000",
경기 광명시, 풀무원녹즙 광명,시간협의,"월급500,000",
전북 전주시, 풀무원녹즙 전주덕진오피스,07:30~10:30,"월급1,000,000",
충남 논산시, 풀무원녹즙 논산가맹점,07:00~11:00,"월급1,200,000",
충남 논산시, 풀무원녹즙 논산가맹점,07:00~11:00,"월급1,200,000",
경기 평택시, 풀무원녹즙 평택홈가맹점,24:00~06:00,"시급10,000",
대구 수성구, 건강한다은이네,02:00~05:00,"월급800,000",
경기 평택시, 풀무원녹즙 평택오피스,08:00~11:00,"시급10,000",
서울 강북구, 강북구 풀무원녹즙,08:00~10:30,"월급600,000",
경기 용인시, 풀무원녹즙수지동부가맹점,07:30~11:00,"월급1,000,000",
대구 전체, 풀무원녹즙,07:30~12:00,"월급1,000,000",
인천 연수구, 풀무원녹즙 남동연수홈가맹점,00:00~02:00,"월급500,000",
경기 부천시, 풀무원 부천가맹점,01:00~04:00,"월급700,000",
서울 용산구, 레버스 유통,06:30~17:30,"월급3,000,000",
대구 전체, 풀무원녹즙,07:30~12:00,"월급1,000,000",
서울 전체, 인플러스G,07:30~11:30,"월급1,200,000",
부산 연제구, 연제구가정배달,00:00~02:30,"월급500,000",
부산 수영구, 풀무원건강생활 부산동구오피스가맹점,05:00~11:00,"연봉50,000,000",
부산 해운대, 풀무원건강생활 부산동구오피스가맹점,05:00~11:00,"연봉50,000,000",
부산 남구, 풀무원건강생활 부산동구오피스가맹점,05:00~11:00,"연봉50,000,000",
부산 연제구, 풀무원건강생활 부산동구오피스가맹점,05:00~11:00,"연봉50,000,000",
경기 고양시, 풀무원녹즙 일산동구홈가맹점,00:30~03:00,"월급800,000",
경기 고양시, 풀무원녹즙 일산동구홈가맹점,00:30~03:00,"월급800,000",
경기 고양시, 풀무원녹즙 일산동구홈가맹점,00:30~03:00,"월급800,000",
경기 고양시, 풀무원녹즙 일산동구홈가맹점,00:30~03:00,"월급800,000",
경남 창원시, 마산회원구녹즙,05:30~10:30,"월급1,100,000",
경기 안양시, 동안초록건강,06:00~10:30,"월급1,000,000",
서울 광진구, 풀무원 녹즙 논현 남부 오피스,06:30~11:00,"월급1,400,000",
서울 강서구, 풀무원녹즙,06:30~09:30,"월급600,000",
대구 전체, 풀무원건강생활 대구서구오피스가맹점,07:30~12:00,"월급1,500,000",
경기 수원시, 영통녹즙,23:30~02:00,"월급600,000",
서울 강서구, 풀무원녹즙,06:30~09:30,"월급600,000",
서울 강서구, 풀무원녹즙,06:30~09:30,"월급600,000",
