place,title,time,pay,date
대구 수성구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",
대구 동구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",
대구 남구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",
대구 수성구, 하나로플랫폼 범어지사,시간협의,"일급300,000",
대구 중구, 하나로플랫폼 범어지사,11:00~02:00,"일급300,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",
대구 중구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",
대구 동구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",
대구 남구, 하나로플랫폼 만촌지사,시간협의,"월급6,000,000",
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"주급1,500,000",
대구 달서구, 하나로플랫폼 만촌지사,시간협의,"주급1,500,000",
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",
대구 남구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",
대전 유성구, 하나로플랫폼 대전2지사,10:00~02:00,"건별3,400",
대전 유성구, 하나로플랫폼 대전2지사,10:00~02:00,"건별3,400",
대전 서구, 하나로플랫폼 대전3지사,10:00~02:00,"건별3,400",
대전 서구, 하나로플랫폼 대전3지사,10:00~02:00,"건별3,400",
대구 수성구, 하나로플랫폼 만촌1지사,시간협의,"월급5,000,000",
대구 수성구, 하나로플랫폼 만촌1지사,시간협의,"월급5,000,000",
대구 수성구, 하나로플랫폼 만촌1지사,시간협의,"월급5,000,000",
대구 전체, 하나로플랫폼 만촌1지사,10:00~03:00,"일급250,000",
대구 전체, 하나로플랫폼 만촌1지사,10:00~03:00,"일급250,000",
대구 전체, 하나로플랫폼 만촌1지사,10:00~03:00,"일급300,000",
대구 수성구, 하나로플랫폼 만촌1지사,10:00~03:00,"일급300,000",
대구 전체, 하나로플랫폼 만촌1지사,10:00~03:00,"일급300,000",
대전 서구, 하나로플랫폼 대전1지사,09:30~05:00,"건별3,400",
대전 서구, 하나로플랫폼 대전1지사,09:30~05:00,"건별3,400",
제주 제주시, 하나로플랫폼 제주지사,10:00~21:00,"건별3,500",
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",
