place,title,time,pay,date
경기 하남시, 하남F&B 미사신도시점,18:00~22:00,"시급11,000",
경기 용인시, 하남F&B 용인보라점,17:00~21:00,"시급9,500",
경기 용인시, 하남F&B 용인보라점,17:00~21:00,"시급9,500",
경기 용인시, 하남F&B 용인보라점,18:00~21:00,"시급9,500",
서울 중랑구, 하남F&B 면목점,18:00~22:00,"시급9,200",
서울 강남구, 하남F&B 수서역점,18:00~22:00,"시급10,000",
서울 강남구, 하남F&B 수서역점,17:00~22:30,"월급2,300,000",
서울 강남구, 하남F&B 수서역점,10:30~22:30,"월급2,700,000",
서울 송파구, 하남F&B 수서역점,10:30~22:30,"월급2,700,000",
경기 화성시, 하남F&B 화성석우점,18:00~22:00,"시급10,000",
경기 하남시, 하남F&B 미사역점,18:30~23:00,"시급10,000",
경기 남양주, 하남돼지집 남양주다산점,18:00~22:00,"시급10,000",
경기 부천시, 하남돼지집 부천역점,11:00~21:00,"월급2,300,000",
서울 노원구, 하남F&B 중계은행점,18:00~22:00,"시급8,720",
경기 시흥시, 하남돼지집 시흥능곡역점,15:00~24:00,"월급2,200,000",
서울 전체, 하남F&B 선릉1호점,18:00~23:00,"시급10,000",
전국 전체, 하남F&B 인천논현점,18:00~22:00,"시급10,500",
전국 전체, 하남F&B 인천논현점,16:00~01:00,"월급2,000,000",
경기 안양시, 하남F&B 안양일번가점,시간협의,"시급9,500",
서울 영등포, 하남돼지집 문래동점,15:00~23:00,"월급2,500,000",
서울 영등포, 하남돼지집 문래동점,11:00~23:00,"월급2,800,000",
경기 부천시, 하남돼지집 부천역점,11:00~21:00,"월급2,300,000",
강원 춘천시, 하남F&B 춘천석사점,18:00~22:00,"시급8,720",
강원 춘천시, 하남F&B 춘천석사점,18:00~22:00,"시급8,720",
강원 춘천시, 하남F&B 춘천후평점,18:00~22:00,"시급8,720",
서울 강남구, 하남F&B 삼성코엑스직영점,시간협의,"시급10,560",
서울 중랑구, 하남F&B 면목점,15:00~24:00,"월급2,200,000",
광주 서구, 하남F&B 광주금호점,17:00~23:00,"월급1,800,000",
경기 고양시, 하남F&B 일산라페스타점,16:00~23:00,"월급1,800,000",
서울 강서구, 하남F&B 오목교역점,15:00~23:30,"월급2,300,000",
서울 양천구, 하남F&B 오목교역점,15:00~23:30,"월급2,300,000",
서울 양천구, 하남F&B 오목교역점,18:00~22:00,"시급10,000",
서울 영등포, 하남F&B 오목교역점,18:00~22:00,"시급10,000",
경기 하남시, 하남F&B 하남스타필드점,17:00~22:00,"시급10,000",
경기 하남시, 하남F&B 미사역점,17:00~24:00,"월급2,000,000",
경기 부천시, 하남F&B 부천중동점,18:00~22:00,"시급8,720",
경기 부천시, 하남F&B 부천중동점,18:00~22:00,"시급8,720",
경기 부천시, 하남F&B 부천중동점,18:00~22:00,"시급8,720",
경기 부천시, 하남F&B 부천중동점,18:00~22:00,"시급8,720",
서울 강남구, 하남F&B 선릉1호점,10:00~22:00,"월급2,600,000",
