place,title,time,pay,date
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급9,000",
충남 아산시, 한경기획 은화수식당 아산점,11:00~14:00,"시급8,720",
충남 천안시, 한경기획 청년다방 천안두정역점,17:00~21:30,"시급8,720",
충남 아산시, 한경기획 은화수식당 아산점,11:00~14:00,"시급8,720",
전남 여수시, 한경기획 청년다방 여수학동점,11:00~18:00,"시급8,720",
전남 여수시, 한경기획 청년다방 여수학동점,11:00~22:00,"월급2,200,000",
충남 논산시, 한경기획 청년다방 논산오거리점,17:30~22:00,"시급8,720",
충남 천안시, 한경기획 청년다방 천안불당점,12:00~22:00,"월급2,200,000",
경기 안산시, 한경기획 청년다방 안산선부점,18:00~23:00,"시급8,720",
충남 천안시, 한경기획 청년다방 천안불당점,12:00~22:00,"월급2,200,000",
충남 천안시, 한경기획 청년다방 천안불당점,12:00~22:00,"월급2,200,000",
충남 아산시, 한경기획 청년다방 아산터미널점,시간협의,"시급8,800",
충남 천안시, 한경기획 청년다방 천안불당점,12:00~22:00,"월급2,200,000",
경기 안산시, 한경기획 청년다방 안산고잔점,10:00~13:00,"시급8,720",
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급9,000",
충남 천안시, 한경기획 청년다방 천안두정역점,17:00~22:00,"시급8,720",
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",
충남 아산시, 한경기획 은화수식당 아산점,11:00~14:00,"시급8,720",
경기 안산시, 한경기획 청년다방 안산고잔점,17:00~21:00,"시급8,720",
충남 천안시, 한경기획 청년다방 천안두정역점,11:00~17:00,"시급8,720",
충남 천안시, 한경기획 청년다방 천안불당점,12:00~22:00,"월급2,200,000",
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급9,000",
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급8,720",
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",
광주 광산구, 한경기획 청년다방 호남대점,10:00~21:30,"시급8,720",
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급8,720",
경기 시흥시, 한경기획 청년다방 시흥능곡역점,11:00~17:00,"시급9,000",
경기 성남시, 한경기획 청년다방 판교테크노밸리점,시간협의,"월급2,600,000",
충남 천안시, 한경기획 은화수식당 천안쌍용점,10:00~21:00,"월급2,100,000",
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,720",
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~16:00,"시급8,720",
서울 은평구, 한경기획 청년다방 응암이마트점,10:00~16:00,"시급8,720",
인천 부평구, 한경기획 청년다방 인천삼산점,17:00~22:00,"시급8,720",
경기 광명시, 철산역점,11:00~22:00,"시급8,720",
경기 광명시, 철산역점,11:00~22:00,"시급8,720",
경기 광명시, 철산역점,11:00~22:00,"시급8,720",
경북 경주시, 한경기획 은화수식당 경주황성점,10:30~15:30,"시급8,720",
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,600,000",
경기 성남시, 한경기획 청년다방 서현로데오점,10:00~22:00,"월급1,700,000",
