place,title,time,pay,date
경남 김해시, 한솔교육 김해지점,시간협의,"월급1,500,000",
경남 김해시, 한솔교육 김해센터,시간협의,"월급1,500,000",
경북 포항시, 한솔교육 포항경주센터,14:30~20:30,"월급2,000,000",
전북 군산시, 한솔교육군산지점,13:00~20:00,"월급1,800,000",
전남 여수시, (주)한솔교육여수센터,13:00~21:00,"월급2,000,000",
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,"월급2,000,000",
경기 시흥시, 한솔교육 시흥지점,시간협의,"월급2,500,000",
서울 중랑구, (주)한솔교육,15:00~20:00,"월급1,700,000",
인천 중구, 한솔교육 인천서센터,15:00~19:30,"월급1,700,000",
인천 서구, 한솔교육 인천청라센터,15:00~19:30,"월급1,700,000",
경북 포항시, 한솔교육 포항플라톤지점,10:30~16:00,"월급3,500,000",
부산 동래구," 한솔교육 온천센터,금정센터,영어센터",시간협의,"월급1,500,000",
충남 서산시, 한솔교육 서산센터,15:00~21:00,"월급2,000,000",
충남 서산시, 한솔교육 서산센터,15:00~21:00,"월급2,000,000",
충남 서산시, 한솔교육 서산센터,15:00~21:00,"월급2,000,000",
부산 전체, 한솔교육 부산영어센터,시간협의,"월급1,500,000",
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,"월급2,000,000",
경기 시흥시, 한솔교육 시흥지점,15:00~20:30,"월급1,900,000",
서울 중랑구, (주)한솔교육,15:00~20:00,"월급1,700,000",
울산 전체, 한솔교육 울산영어센터,15:00~20:00,"월급1,800,000",
경남 김해시, 한솔교육 김해지점,시간협의,"월급1,500,000",
충북 청주시, 한솔교육 청주개신성화복대센터,시간협의,"월급1,800,000",
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,"월급2,000,000",
서울 중랑구, (주)한솔교육,15:00~20:00,"월급1,700,000",
부산 북구, 한솔교육 부산화명지점,시간협의,"월급1,500,000",
부산 북구, 한솔교육 부산화명지점,시간협의,"월급1,500,000",
서울 송파구, 한솔교육 송파센터,14:00~20:30,"월급2,500,000",
서울 강동구, 한솔교육 강동센터,14:00~20:30,"월급2,500,000",
서울 중랑구, (주)한솔교육,15:00~20:00,"월급1,700,000",
인천 남동구, 한솔교육 인천간석센터,14:00~20:00,"월급1,800,000",
서울 양천구, 한솔교육 목동플라톤센터,09:30~19:00,"월급1,822,480",
경기 부천시, 한솔교육부천지점,11:00~21:00,"월급1,900,000",
경기 부천시, 한솔교육부천지점,14:00~18:00,"월급1,800,000",
경기 시흥시, 한솔교육 시흥지점,13:00~18:00,"월급2,500,000",
광주 전체, 한솔교육 광주영어지점,시간협의,"건별1,500,000",
광주 서구, 한솔교육 광주영어지점,15:30~20:30,"월급1,500,000",
인천 남동구, 한솔교육 연수영어센터,14:00~19:00,"월급3,000,000",
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,"월급2,000,000",
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,"월급2,000,000",
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,"월급2,000,000",
