place,title,time,pay,date
충북 청주시, 할리스커피 청주명암레이크점,시간협의,"월급2,000,000",
충북 청주시, 할리스커피 청주명암레이크점,12:30~16:30,"시급8,720",
부산 동래구, 할리스커피 부산명륜자이점,11:30~15:00,"시급8,720",
서울 은평구, 할리스커피 연신내점,09:00~13:30,"시급8,720",
전북 전주시, 할리스커피 전북도청점,09:00~15:00,"시급8,720",
경기 광명시, 할리스커피 광명하안점,18:00~22:00,"시급8,720",
서울 양천구, 할리스커피 목동예술인회관점,시간협의,"시급8,720",
경기 남양주, 할리스커피 다산센트럴점,13:00~22:00,"월급1,900,000",
서울 전체, 할리스커피 청담삼성로점,13:00~22:00,"월급2,000,000",
대전 유성구, 할리스커피 대전신성점,16:00~22:00,"시급8,720",
서울 마포구, 할리스커피 공덕점,18:00~21:00,"시급8,720",
서울 전체, 할리스커피 광나루역점,18:30~22:00,"시급8,720",
인천 남동구, 할리스커피 간석역남부점,16:00~21:00,"시급8,720",
서울 전체, 할리스커피 청담삼성로점,13:00~22:00,"월급2,000,000",
경기 화성시, 할리스커피 화성융건릉점,19:30~22:00,"시급9,000",
경기 양주시, 할리스커피 양주고읍점,15:00~22:00,"시급8,720",
경기 파주시, 할리스커피 파주운정역점,08:00~15:00,"시급8,720",
광주 서구, 할리스커피 유스퀘어CGV점,17:00~22:00,"시급8,720",
서울 전체, 할리스커피 방이역점,13:00~22:00,"월급1,900,000",
서울 강남구, 할리스커피 수서점,16:00~22:00,"시급8,720",
서울 서초구, 할리스커피 교대역점,시간협의,"시급8,720",
경기 파주시, 할리스커피 파주운정역점,14:00~23:00,"월급2,000,000",
서울 양천구, 할리스커피 목동점,시간협의,"시급8,720",
서울 마포구, 할리스커피 공덕점,10:00~17:00,"시급8,720",
서울 송파구, 할리스커피 아시아선수촌점,16:00~22:00,"시급9,000",
서울 관악구, 할리스커피 신림사거리점,10:00~16:00,"시급8,720",
서울 서초구, 할리스커피 교대역점,시간협의,"시급8,720",
세종 가람동, 할리스커피 세종가람DT점,19:00~22:00,"시급8,720",
서울 송파구, 할리스커피 아시아선수촌점,17:00~22:00,"시급8,900",
경기 화성시, 할리스커피 화성융건릉점,08:30~12:00,"시급8,720",
전북 익산시, 할리스커피 익산어양점,시간협의,"시급8,720",
세종 가람동, 할리스커피 세종가람DT점,19:00~22:00,"시급8,720",
서울 영등포, 할리스커피 당산역점,시간협의,"시급8,720",
서울 구로구, 할리스커피 오류동역점,시간협의,"시급8,720",
서울 양천구, 할리스커피 목동예술인회관점,시간협의,"시급8,720",
서울 종로구, 할리스커피 종로5가점,13:00~21:00,"월급1,850,000",
전북 익산시, 할리스커피 익산부송점,15:00~24:00,"월급2,500,000",
인천 미추홀, 할리스커피 인천주안역점,14:00~23:30,"시급8,720",
인천 미추홀, 할리스커피 인천주안역점,16:00~23:00,"시급8,720",
인천 미추홀, 할리스커피 인천주안역점,18:30~23:30,"시급8,720",
