place,title,time,pay,date
충남 아산시, 모종점,18:00~22:00,"시급8,720",
충남 아산시, 모종점,18:00~22:00,"시급8,720",
충남 아산시, 모종점,18:00~22:00,"시급8,720",
충남 아산시, 모종점,18:00~22:00,"시급8,720",
경기 의정부, 호식이두마리치킨 녹양점,18:00~22:00,"시급8,720",
경기 고양시, 호식이두마리치킨 삼송지구점,17:00~00:00,"월급2,100,000",
전북 군산시, 호식이두마리치킨 조촌경암점,18:00~00:00,"시급8,720",
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급9,000",
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급9,000",
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급9,000",
서울 관악구, 호식이두마리치킨 대학점,18:00~23:00,"시급8,720",
대구 달서구, 호식이두마리치킨 성서1호점,12:00~17:00,"건별5,000",
대구 달서구, 호식이두마리치킨 성서1호점,17:00~23:00,"시급10,000",
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",
서울 금천구, 호식이두마리치킨 시흥1호점,시간협의,"시급8,720",
울산 남구, 호식이두마리치킨 울산대현점,17:30~21:00,"시급9,300",
경기 시흥시, 호식이두마리치킨 배곧1호점,18:00~21:00,"시급8,720",
서울 관악구, 호식이두마리치킨 대학점,18:00~23:00,"시급8,720",
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",
인천 부평구, 호식이두마리치킨 부개1호점,17:00~22:00,"시급9,000",
인천 부평구, 호식이두마리치킨 부개1호점,17:00~22:00,"시급9,000",
경남 통영시, 호식이두마리치킨 미륵점,18:00~24:00,"시급8,720",
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,720",
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,720",
서울 강동구, 호식이두마리치킨 강일점,17:00~21:00,"시급9,000",
서울 송파구, 호식이두마리치킨 송파위례점,13:00~23:00,"월급2,500,000",
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",
경기 양주시, 호식이두마리치킨 옥정신도시점,18:00~21:00,"시급9,000",
대구 북구, 호식이두마리치킨 금호지구점,17:30~21:00,"시급9,000",
경북 포항시, 호식이두마리치킨 문덕점,17:00~23:00,"시급9,500",
경북 안동시, 호식이두마리치킨 용상점,17:00~24:00,"시급8,720",
세종 종촌동, 호식이두마리치킨 종촌점,시간협의,"시급8,720",
경기 여주시, 호식이두마리치킨 여주대점,17:00~22:00,"시급10,000",
경기 의정부, 호식이두마리치킨 녹양점,18:00~22:00,"시급8,720",
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",
부산 북구, 호식이두마리치킨 만덕신도시점,시간협의,건별50,
