place,title,time,pay,date
서울 노원구, 호치킨 노원역점,19:00~22:00,"시급8,720",
서울 노원구, 호치킨 노원역점,19:00~22:00,"시급8,720",
인천 계양구, 호치킨 인천효성점(현),18:00~23:00,"시급9,000",
인천 계양구, 호치킨 계산도두리점,17:00~23:00,"시급10,000",
서울 노원구, 호치킨 노원역점,시간협의,"월급1,200,000",
인천 남동구, 호치킨 서창2지구점(현-2),시간협의,"시급8,720",
서울 송파구, 호치킨 풍납2동점,17:30~22:30,"시급9,300",
인천 계양구, 호치킨 계산도두리점,17:00~23:00,"시급10,000",
인천 부평구, 호치킨 산곡점,17:30~23:00,"시급9,500",
인천 부평구, 호치킨 산곡점,18:00~23:00,"시급9,500",
인천 부평구, 호치킨 산곡점,18:00~23:00,"시급9,500",
인천 계양구, 호치킨 계산도두리점,17:00~23:00,"시급10,000",
서울 송파구, 호치킨 오금점,18:00~01:00,"시급9,500",
서울 강서구, 호치킨 강서하이웨이점,18:00~23:00,"시급9,000",
인천 부평구, 호치킨 산곡점,17:30~23:00,"시급9,500",
서울 송파구, 호치킨 오금점,18:00~01:00,"시급9,500",
인천 부평구, 호치킨 산곡점,18:00~23:00,"시급9,500",
서울 송파구, 호치킨 가락프라자점,18:00~24:00,"시급9,000",
서울 송파구, 호치킨 가락프라자점,18:00~24:00,"시급9,000",
서울 송파구, 호치킨 가락프라자점,18:00~24:00,"시급9,000",
서울 송파구, 호치킨 가락프라자점,18:00~24:00,"시급9,000",
서울 송파구, 호치킨 오금점,18:00~01:00,"시급9,500",
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",
경기 의정부, 호치킨 회룡역점,시간협의,"월급2,200,000",
서울 노원구, 호치킨 노원역점,시간협의,"월급1,200,000",
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",
경기 수원시, 호치킨 수원매탄위브점,18:00~24:00,"시급9,000",
인천 미추홀, 호치킨 주안역점,18:00~22:00,"시급9,000",
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급8,800",
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급8,720",
서울 서초구, 호치킨 방배카페점,18:00~23:00,"시급9,000",
서울 송파구, 호치킨 풍납2동점,17:30~22:30,"시급9,300",
서울 영등포, 호치킨 호치킨양평역점(현-1),18:00~22:00,"시급8,720",
경기 용인시, 호치킨 동백골드프라자점,17:30~24:00,"시급10,000",
