place,title,time,pay,date
인천 미추홀, 홈플러스 익스프레스 주안점,13:00~19:00,"시급8,720",
인천 미추홀, 홈플러스 익스프레스 주안점,15:00~21:00,"시급8,720",
서울 송파구, 홈플러스 익스프레스 잠실점,08:00~14:00,"시급8,720",
서울 송파구, 홈플러스 익스프레스 잠실점,08:00~14:00,"시급8,720",
경기 용인시, 홈플러스 익스프레스 용인구성점,07:00~14:00,"시급8,720",
충북 청주시, 홈플러스 익스프레스 청주개신점,18:00~24:00,"시급8,720",
경기 용인시, 홈플러스 익스프레스 용인구성점,17:00~23:00,"시급8,720",
경기 용인시, 홈플러스 익스프레스 용인죽전점,17:00~23:00,"시급8,720",
서울 송파구, 홈플러스 익스프레스 잠실점,08:00~14:00,"시급8,720",
경기 의왕시, 홈플러스 익스프레스 의왕포일점,08:00~14:00,"시급8,720",
서울 송파구, 홈플러스 익스프레스 개롱점,08:00~13:00,"시급8,720",
경기 수원시, 홈플러스 익스프레스 수원연무점,08:00~14:00,"시급8,720",
서울 강남구, 홈플러스 익스프레스 학동역점,07:00~15:00,"월급1,595,760",
서울 강남구, 홈플러스 익스프레스 학동역점,07:00~15:00,"월급1,595,760",
서울 강남구, 홈플러스 익스프레스 학동역점,07:00~15:00,"월급1,595,760",
서울 강남구, 홈플러스 익스프레스 학동역점,07:00~15:00,"월급1,595,760",
서울 전체, 홈플러스 익스프레스 신정3점,14:00~20:00,"월급1,325,000",
서울 전체, 홈플러스 익스프레스 신정3점,13:00~19:00,"시급8,720",
경기 안양시, 홈플러스 익스프레스 안양평촌점,16:00~23:00,"시급8,720",
서울 서초구, 홈플러스 익스프레스 반포2점,18:00~24:00,"월급1,369,040",
대전 유성구, 홈플러스 익스프레스 반석점,13:00~19:00,"시급8,720",
서울 송파구, 홈플러스 익스프레스 개롱점,08:00~13:00,"시급8,720",
경기 안산시, 홈플러스 익스프레스 안산고잔점,18:00~24:00,"시급8,720",
경기 부천시, 홈플러스 익스프레스 부천중동2점,07:00~13:00,"월급1,370,000",
경기 성남시, 홈플러스 익스프레스 분당동판교점,08:00~14:00,"시급8,720",
인천 연수구, 홈플러스 익스프레스 인천송도점,17:00~23:00,"월급1,500,000",
인천 연수구, 홈플러스 익스프레스 인천송도점,17:00~23:00,"시급8,720",
대구 달서구, 홈플러스 익스프레스 감삼점,16:00~22:00,"월급1,369,040",
서울 전체, 홈플러스 익스프레스 목동2점,16:00~22:00,"월급1,369,040",
경기 시흥시, 홈플러스 익스프레스 시흥월곶점,11:00~17:00,"시급8,720",
경기 광명시, 홈플러스 익스프레스 광명하안2점,07:00~13:00,"시급8,720",
경기 성남시, 홈플러스 익스프레스 수내점,17:00~23:00,"시급8,720",
서울 서초구, 홈플러스 익스프레스 반포2점,18:00~24:00,"월급1,369,040",
서울 강동구, 홈플러스 익스프레스 길동점,15:00~21:00,"시급8,720",
서울 종로구, 홈플러스 익스프레스 명륜2점,18:00~24:00,"시급8,720",
서울 종로구, 홈플러스 익스프레스 명륜2점,12:00~18:00,"시급8,720",
경기 부천시, 홈플러스 익스프레스 부천중동2점,07:00~13:00,"월급1,370,000",
서울 영등포, 홈플러스 익스프레스 도림점,08:00~14:00,"시급8,720",
경기 수원시, 홈플러스 익스프레스 수원연무점,08:00~14:00,"시급8,720",
경기 수원시, 홈플러스 익스프레스 수원연무점,08:00~14:00,"시급8,720",
