place,title,time,pay,date
제주 제주시, 홍익아트 제주시지사,시간협의,"월급2,200,000",
전북 익산시, 홍익아트 익산지사,시간협의,"월급2,200,000",
광주 남구, 홍익아트 광주남구지사,시간협의,"월급2,200,000",
광주 서구, 홍익아트 광주서구지사,시간협의,"월급2,200,000",
광주 광산구, 홍익아트 광주광산구지사,시간협의,"월급2,200,000",
전남 순천시, 홍익아트 순천지사,시간협의,"월급2,200,000",
경남 사천시, 홍익아트 사천지사,시간협의,"월급2,200,000",
경남 진주시, 홍익아트 진주지사,시간협의,"월급2,200,000",
경북 포항시, 홍익아트 포항북구지사,시간협의,"월급2,200,000",
경북 포항시, 홍익아트 포항남구지사,시간협의,"월급2,200,000",
경북 구미시, 홍익아트 구미지사,시간협의,"월급2,200,000",
경북 경산시, 홍익아트 경산지사,시간협의,"월급2,200,000",
대구 북구, 홍익아트 대구북구지사,시간협의,"월급2,200,000",
대구 동구, 홍익아트 대구동구지사,시간협의,"월급2,200,000",
대구 달성군, 홍익아트 대구달성군지사,시간협의,"월급2,200,000",
대구 달서구, 홍익아트 대구달서지사,시간협의,"월급2,200,000",
울산 동구, 홍익아트 울산동구지사,시간협의,"월급2,200,000",
울산 남구, 홍익아트 울산남구지사,시간협의,"월급2,200,000",
부산 수영구, 홍익아트 부산수영구지사,시간협의,"월급2,200,000",
부산 해운대, 홍익아트 부산해운대지사,시간협의,"월급2,200,000",
부산 부산진, 홍익아트 부산진구지사,시간협의,"월급2,200,000",
부산 사상구, 홍익아트 부산사상구지사,시간협의,"월급2,200,000",
부산 동래구, 홍익아트 부산동래지사,시간협의,"월급2,200,000",
경남 양산시, 홍익아트 양산지사,시간협의,"월급2,200,000",
부산 연제구, 홍익아트 부산연제지사,시간협의,"월급2,200,000",
부산 금정구, 홍익아트 부산금정지사,시간협의,"월급2,200,000",
부산 사하구, 홍익아트 부산사하구지사,시간협의,"월급2,200,000",
부산 강서구, 홍익아트 부산강서구지사,시간협의,"월급2,200,000",
충북 청주시, 홍익아트 오창오송지사 (흥덕구),시간협의,"월급2,200,000",
충북 청주시, 홍익아트 청주 청원구지사,시간협의,"월급2,200,000",
충북 청주시, 홍익아트 청주 흥덕구지사,시간협의,"월급2,200,000",
충북 청주시, 홍익아트 청주 서원구지사,시간협의,"월급2,200,000",
세종 전체, 홍익아트 세종지사,시간협의,"월급2,200,000",
대전 동구, 홍익아트 대전중구지사,시간협의,"월급2,200,000",
대전 동구, 홍익아트 대전동구지사,02:00~20:00,"월급2,200,000",
대전 서구, 홍익아트 대전서구지사,시간협의,"월급2,200,000",
대전 대덕구, 홍익아트 대전대덕구지사,시간협의,"월급2,200,000",
강원 춘천시, 홍익아트 춘천지사,시간협의,"월급2,200,000",
인천 부평구, 홍익아트 인천부평지사,시간협의,"월급2,200,000",
인천 미추홀, 홍익아트 인천미추홀구지사,시간협의,"월급2,200,000",
